Position,Team Name,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6 Jury,Social Excellence,Total
1,Sapienza Technology Team,41,20,,,,4,15,80
2,SHUNYA,39,20,,,,7,,66
3,IITB Mars Rover Team,38,20,,,,5,,63
4,CRISS Robotics,37,8,,,,15,,60
5,Inferno DTU,37,20,,,,2,,59
6,Makercie,33,,,,,3,,36
7,Mind Cloud,32,16,,,,,15,63
8,PSG Team Aurora,32,18,,,,8,,58
9,TerraBots,32,20,,,,10,,62
10,CSA ROBOTICS,31,0,,,,,,31
11,DJS Antariksh,31,20,,,,5,,56
12,NSpace,31,20,,,,5,,56
13,Robocon IITR,31,20,,,,3,,54
14,ARES,29,20,,,,5,,54
15,Amogh,28,20,,,,2,,50
16,Interplanetar – BUET Mars Rover Team,25,20,,,,5,,50
17,Horizon,23,4,,,,2,,29
18,PUTLunarTeam,23,20,,,,3,5,51
19,ProjectRed,20,20,,,,5,,45
20,RIVAL,19,20,,,,5,,44
21,BanglaBot Xplorer,10,,,,,,,10
22,ELTE StudentTechLab,9,,,,,,,9
23,BLAZERS,5,,,,,,,5
24,light pheniox,4,,,,,,,4
